date,1. open,2. high,3. low,4. close,5. volume
2019-07-24 11:21:00,207.8014,207.87,207.73,207.73,39723.0
2019-07-24 11:22:00,207.735,207.77,207.65,207.65,23772.0
2019-07-24 11:23:00,207.655,207.77,207.65,207.76,29541.0
2019-07-24 11:24:00,207.76,207.81,207.72,207.78,19078.0
2019-07-24 11:25:00,207.775,207.81,207.76,207.7667,17101.0
2019-07-24 11:26:00,207.7606,207.7884,207.76,207.78,15496.0
2019-07-24 11:27:00,207.78,207.87,207.74,207.8557,29215.0
2019-07-24 11:28:00,207.87,207.87,207.79,207.79,17142.0
2019-07-24 11:29:00,207.8,207.8501,207.8,207.8501,18172.0
2019-07-24 11:30:00,207.85,207.92,207.84,207.9036,23962.0
2019-07-24 11:31:00,207.9273,207.9499,207.89,207.935,23851.0
2019-07-24 11:32:00,207.94,207.97,207.92,207.93,17465.0
2019-07-24 11:33:00,207.9303,207.9303,207.8703,207.92,25299.0
2019-07-24 11:34:00,207.92,207.92,207.8,207.8,25718.0
2019-07-24 11:35:00,207.8,207.8908,207.8,207.83,26949.0
2019-07-24 11:36:00,207.83,207.83,207.74,207.79,25444.0
2019-07-24 11:37:00,207.79,207.92,207.79,207.87,22450.0
2019-07-24 11:38:00,207.8699,207.92,207.84,207.9,23031.0
2019-07-24 11:39:00,207.92,208.0,207.87,207.99,170178.0
2019-07-24 11:40:00,208.0,208.15,207.9931,208.1,56342.0
2019-07-24 11:41:00,208.1035,208.18,208.08,208.1,20536.0
2019-07-24 11:42:00,208.1151,208.1151,208.05,208.07,22540.0
2019-07-24 11:44:00,208.05,208.084,208.05,208.07,44646.0
2019-07-24 11:45:00,208.06,208.06,207.93,207.966,22207.0
2019-07-24 11:46:00,207.96,208.07,207.96,208.02,33381.0
2019-07-24 11:47:00,208.0215,208.04,208.0,208.03,12836.0
2019-07-24 11:48:00,208.03,208.0586,208.0,208.02,12901.0
2019-07-24 11:49:00,208.02,208.06,207.89,207.89,25550.0
2019-07-24 11:50:00,207.89,207.94,207.89,207.91,23705.0
2019-07-24 11:51:00,207.915,207.92,207.88,207.92,13067.0
2019-07-24 11:52:00,207.92,207.92,207.87,207.88,11194.0
2019-07-24 11:53:00,207.88,207.88,207.78,207.84,27814.0
2019-07-24 11:54:00,207.85,207.8538,207.75,207.75,19624.0
2019-07-24 11:55:00,207.7639,207.79,207.74,207.78,13516.0
2019-07-24 11:56:00,207.785,207.8071,207.74,207.8,19740.0
2019-07-24 11:57:00,207.8,207.805,207.7475,207.79,17190.0
2019-07-24 11:58:00,207.8,207.8484,207.79,207.815,16723.0
2019-07-24 11:59:00,207.82,207.82,207.75,207.81,21863.0
2019-07-24 12:00:00,207.8,207.8579,207.79,207.81,37081.0
2019-07-24 12:01:00,207.8,207.85,207.785,207.85,14161.0
2019-07-24 12:02:00,207.865,207.875,207.82,207.82,11856.0
2019-07-24 12:03:00,207.82,207.8872,207.8,207.86,16609.0
2019-07-24 12:04:00,207.87,207.875,207.82,207.84,10582.0
2019-07-24 12:05:00,207.845,207.91,207.84,207.905,19323.0
2019-07-24 12:06:00,207.9169,207.94,207.84,207.8496,17260.0
2019-07-24 12:07:00,207.84,207.915,207.84,207.8782,8266.0
2019-07-24 12:08:00,207.8791,207.9535,207.87,207.93,19345.0
2019-07-24 12:09:00,207.93,207.95,207.91,207.94,3463.0
2019-07-24 12:10:00,207.94,207.94,207.94,207.94,21757.0
2019-07-24 12:11:00,207.93,208.005,207.93,207.96,23574.0
2019-07-24 12:12:00,207.975,208.08,207.975,208.05,33766.0
2019-07-24 12:13:00,208.05,208.08,208.02,208.04,19541.0
2019-07-24 12:14:00,208.04,208.04,207.925,207.95,31464.0
2019-07-24 12:15:00,207.95,207.965,207.89,207.89,9038.0
2019-07-24 12:16:00,207.88,207.885,207.81,207.83,15715.0
2019-07-24 12:17:00,207.83,207.86,207.7802,207.79,22338.0
2019-07-24 12:18:00,207.7872,207.8286,207.77,207.799,19830.0
2019-07-24 12:19:00,207.79,207.8066,207.765,207.8,7263.0
2019-07-24 12:20:00,207.8,207.84,207.79,207.83,23304.0
2019-07-24 12:21:00,207.82,207.85,207.7699,207.83,30733.0
2019-07-24 12:22:00,207.84,207.84,207.8,207.84,4750.0
2019-07-24 12:23:00,207.85,207.9,207.83,207.9,13105.0
2019-07-24 12:24:00,207.91,207.99,207.9,207.925,32230.0
2019-07-24 12:25:00,207.9249,207.93,207.8999,207.91,16430.0
2019-07-24 12:26:00,207.8967,207.96,207.8899,207.96,10661.0
2019-07-24 12:27:00,207.94,207.94,207.87,207.87,11535.0
2019-07-24 12:28:00,207.87,207.9299,207.87,207.8968,15804.0
2019-07-24 12:29:00,207.89,207.9065,207.857,207.9065,10652.0
2019-07-24 12:30:00,207.91,207.91,207.85,207.8598,12044.0
2019-07-24 12:31:00,207.865,207.97,207.8638,207.96,11760.0
2019-07-24 12:32:00,207.97,208.09,207.965,208.06,52953.0
2019-07-24 12:33:00,208.0602,208.0727,208.0287,208.0721,18348.0
